"PVWatts: Hourly PV Performance Data"
"Requested Location:","sioux falls"
"Location:","Lat, Lon: 43.49, -96.74"
"Lat (deg N):","43.49"
"Long (deg W):","96.74"
"Elev (m):","447.35998535156"
"DC System Size (kW):","500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.104"
"Capacity Factor (%)","15.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","30","23","0","0","5","1","0","5","0","0"
"3","31","0","0","0","4","2","0","4","0","0"
"3","31","1","0","0","4","3","0","4","0","0"
"3","31","2","0","0","3","3","0","3","0","0"
"3","31","3","0","0","2","2","0","2","0","0"
"3","31","4","0","0","1","1","0","1","0","0"
"3","31","5","0","0","1","1","0","1","0","0"
"3","31","6","0","16","2","1","15.161","-0.151","7283.268","4599.375"
"3","31","7","88","94","4","2","117.543","5.19","52810.219","49205.805"
"3","31","8","162","175","6","2","258.327","11.533","115877.453","110743.227"
"3","31","9","433","216","9","2","532.339","22.428","229472.844","220836.984"
"3","31","10","92","318","10","3","402.245","19.448","177186.641","170281.719"
"3","31","11","3","156","10","3","152.925","13.058","69382.813","65405.051"
"3","31","12","0","135","9","3","129.521","10.794","59357.289","55607.824"
"3","31","13","0","122","7","4","116.764","8.238","54113.949","50480.906"
"3","31","14","9","208","5","4","209.619","8.272","97120.164","92471.828"
"3","31","15","52","240","5","4","278.205","10.007","127696.273","122242.445"
"3","31","16","3","139","4","4","135.701","5.969","63472.359","59630.094"
"3","31","17","0","72","3","3","68.781","3.188","32577.734","29401.436"
"3","31","18","0","1","0","8","0.944","-1.014","455.35","0"
"3","31","19","0","0","-1","8","0","-1","0","0"
"3","31","20","0","0","-1","7","0","-1","0","0"
"3","31","21","0","0","-1","7","0","-1","0","0"
"3","31","22","0","0","-2","7","0","-2","0","0"
"3","31","23","0","0","-2","7","0","-2","0","0"
"4","1","0","0","0","-2","6","0","-2","0","0"
"4","1","1","0","0","-2","6","0","-2","0","0"
"4","1","2","0","0","-2","5","0","-2","0","0"
"4","1","3","0","0","-3","5","0","-3","0","0"
"4","1","4","0","0","-4","5","0","-4","0","0"
"4","1","5","0","0","-4","5","0","-4","0","0"
"4","1","6","161","22","-4","5","30.108","-4.909","11523.163","8760.052"
"4","1","7","585","65","-1","5","229.1","2.08","93052.508","88506.094"
"4","1","8","780","85","0","6","480.688","7.478","213250.906","205173.813"
"4","1","9","881","96","2","7","714.082","12.81","320214.438","308092"
"4","1","10","934","103","3","7","892.453","16.931","396671.906","381136.438"
"4","1","11","960","106","4","7","1006.515","19.96","442305.688","416666.656"
"4","1","12","936","125","5","7","1035.235","21.549","451799.281","416666.656"
"4","1","13","928","122","5","7","995.755","20.947","435610.188","416666.656"
"4","1","14","904","115","5","6","888.38","20.688","388214.563","373078.031"
"4","1","15","863","102","4","6","711.655","16.436","314151.531","302281.156"
"4","1","16","679","86","3","5","436.026","11.304","190772.297","183437.172"
"4","1","17","613","64","1","3","239.147","6.3","95511.711","90903.828"
